Name,Operator,Buying Rate,Selling Rate,Min Duration,Max Duration,Daily Rate,Monthly Rate,Daily Title,Weekly Title,Monthly Title,Currency
Madagascar D1,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar D2,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar D3,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar D4,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar D5,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Madagascar D6,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Maldives D1,Dragon Telecom,0.30,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Maldives D2,Dragon Telecom,0.30,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Maldives D3,Dragon Telecom,0.30,0.22,980,1180,0,0.25,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali D2,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mali D3,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mauritania D1,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mauritania D2,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Mauritania D3,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D2,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D3,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D4,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D5,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D6,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Monaco D7,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco D1,Dragon Telecom,0.17,0.12,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco D2,Dragon Telecom,0.17,0.12,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Morocco D3,Dragon Telecom,0.17,0.12,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar D1,Dragon Telecom,0.07,0.05,980,1180,0,0.06,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar D2,Dragon Telecom,0.07,0.05,980,1180,0,0.06,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Myanmar D3,Dragon Telecom,0.07,0.05,980,1180,0,0.06,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Nauru D1,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Nauru D2,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Nauru D3,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Nauru D4,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Niue D1,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Niue D2,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Niue D3,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Norfolk Island D1,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
North Korea D1,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
North Korea D2,Dragon Telecom,0.20,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Oman D1,Dragon Telecom,0.00,0.00,980,1180,0,0.00,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Palau D1,Dragon Telecom,0.17,0.12,980,1180,0,0.13,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Papua New Guinea D1,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Papua New Guinea D2,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Papua New Guinea D3,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sao Tome D1,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sao Tome D2,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sao Tome D3,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sao Tome D4,Dragon Telecom,0.23,0.18,980,1180,0,0.20,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Senegal D1,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Senegal D2,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Senegal D3,Dragon Telecom,0.18,0.13,980,1180,0,0.15,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Serbia D1,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Serbia D2,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Serbia D3,Dragon Telecom,0.16,0.12,980,1180,0,0.14,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Seychelles D1,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Seychelles D2,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Seychelles D3,Dragon Telecom,0.11,0.08,980,1180,0,0.09,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sierra Leone D1,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sierra Leone D2,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sierra Leone D3,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sierra Leone D4,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Sierra Leone D5,Dragon Telecom,0.21,0.16,980,1180,0,0.18,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Soloman Islands D1,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Soloman Islands D2,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Soloman Islands D3,Dragon Telecom,0.12,0.09,980,1180,0,0.10,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Somalia D1,Dragon Telecom,0.00,0.00,980,1180,0,0.00,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Somalia D2,Dragon Telecom,0.00,0.00,980,1180,0,0.00,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
Somalia D3,Dragon Telecom,0.00,0.00,980,1180,0,0.00,Daily 1/1,Weekly 7/3,Monthly 30/45,USD
